video_id,title,views,likes,comments,publish_days,subscribers
qSc8GkWykWQ,國外網友用「倉鼠」玩加密貨幣，沒想到績效屌打一堆人!,161458,6188,302,1178,1590000
Z791ou9YrRg,太yee了吧！ | 啾來聊聊2015 第32集 | 啾啾鞋,470565,7698,826,3367,1590000
gBHVz78HHVs,神奇的「心率同步」實驗,166003,4993,438,1183,1590000
4APgA9Z8dF0,Dogecoin近期為什麼大暴漲？我為什麼決定開挖Dogecoin？｜啾啾鞋,362592,9134,779,1336,1590000
Ex0IAcWB56U,為什麼追求完美反而會拖累你? 又該怎麼辦呢? | 啾來聊聊2017 第49集 | 啾啾鞋,396927,19676,1042,2831,1590000
gAmrTOK1Z50,美國猶他州沙漠發現神秘金屬柱？是誰做的？又為何而做？| 啾啾鞋,438370,13103,784,1484,1590000
1V6xuddmyhA,全聯的公仔 - 蔬果好朋友??? |【動森迷因】| 我前網看說#2,629535,15035,1593,1708,1590000
K0ggWQ0SLxE,你還記得這個畫面嗎? | 啾啾鞋,281333,9302,860,1596,1590000
fnQbumnCBW8,NASA最新公開！火星地震的聲音聽起來是怎樣的？(強烈建議戴耳機聆聽）| 一探啾竟 第76集 | 啾啾鞋,225729,6348,433,1904,1590000
BLdWYz83Djk,可樂的氣泡和氣泡水的氣泡為什麼口感不一樣? | 超邊緣冷知識 第45集 | 啾啾鞋,340075,9189,556,2460,1590000
7jQF1xWgkrE,路上撿到隨身碟，你會...? | 超邊緣冷知識 第6集 | 啾啾鞋,2002333,29483,1399,2943,1590000
tawnyZXWwVo,Google Assistant和Alexa誰比較有個性? 聯發科技智慧家庭展體驗! | 啾來試試 第3集 | 啾啾鞋,224661,6239,397,2429,1590000
5z19VMFOdnQ,一款「種田」遊戲竟然也可以搞電競!? 模擬農場Farming Simulator League介紹 | 神扯電玩 第13集 | 啾啾鞋,463485,8773,936,1949,1590000
wxNd_f8g4OM,手機振動了，拿起來卻沒有通知? 什麼是幽靈振動症候群? | 超邊緣冷知識 第26集 | 啾啾鞋,396362,11121,848,2824,1590000
hsDcKVZV3Yw,AI自動生成的節目，到底都嗑了什麼...,268551,9018,556,672,1590000
bvMBsyrkauo,你有打過嗎？AZ如何從一間瑞典小藥廠，經歷破產後浴火重生，成為世界生物製藥的巨頭！｜巨頭的起源｜啾啾鞋,133132,3366,364,519,1590000
zOAdGYcjo28,納豆造型拼圖？只有六片拼起來會很難嗎？｜啾來試試｜啾啾鞋,173432,5142,183,617,1590000
iJa8xxkaUuY,電動牙刷真的比手動牙刷乾淨嗎? 電動牙刷的原理 | 一探啾竟 第44集 | 啾啾鞋,463941,8174,770,2471,1590000
